"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizacion para Skill Hacking Banistmo","Visualizar archivo PDF","SUCCESS","2021-11-20T14:22:13.631-05:00[America/Bogota]","0.0","27.11"
"Automatizacion para Skill Hacking Banistmo","Generar archivo PDF","SUCCESS","2021-11-20T20:01:00.782-05:00[America/Bogota]","0.0","25.81"
